Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
streaming_phase0_core1,nopref,0.2458,855785,681263,116381,58141,1
streaming_phase0_core1,spp,0.25958,1000965,290217,139059,58797,1
streaming_phase0_core1,bingo,0.26291,1018611,151231,122073,62680,1
streaming_phase0_core1,mlop,0.26229,1462798,161029,137798,71713,1
streaming_phase0_core1,pythia,0.26054,996282,210118,119650,43987,1
streaming_phase0_core1,nopref_MTPS150,0.21209,855897,681334,116355,58208,1
streaming_phase0_core1,spp_MTPS150,0.2138,968459,362998,131487,55349,1
streaming_phase0_core1,bingo_MTPS150,0.21417,1015626,166214,121932,62511,1
streaming_phase0_core1,mlop_MTPS150,0.1997,1434969,168271,130793,70112,1
streaming_phase0_core1,pythia_MTPS150,0.21364,995199,208810,119697,43902,1
streaming_phase0_core1,nopref_MTPS300,0.23301,855856,681289,116372,58195,1
streaming_phase0_core1,spp_MTPS300,0.24132,971348,352065,132643,55571,1
streaming_phase0_core1,bingo_MTPS300,0.24227,1015450,164653,121729,62515,1
streaming_phase0_core1,mlop_MTPS300,0.23497,1440348,165688,131555,71461,1
streaming_phase0_core1,pythia_MTPS300,0.24076,996312,209668,119876,43390,1
streaming_phase0_core1,nopref_MTPS600,0.24209,855876,681315,116377,58184,1
streaming_phase0_core1,spp_MTPS600,0.25449,997276,301033,137941,58374,1
streaming_phase0_core1,bingo_MTPS600,0.25698,1016468,160285,121556,62726,1
streaming_phase0_core1,mlop_MTPS600,0.25406,1452311,163171,133900,71886,1
streaming_phase0_core1,pythia_MTPS600,0.25402,996515,209409,119426,43697,1
streaming_phase0_core1,nopref_MTPS1200,0.24505,855856,681291,116387,58178,1
streaming_phase0_core1,spp_MTPS1200,0.2585,999773,294704,138592,58740,1
streaming_phase0_core1,bingo_MTPS1200,0.2614,1018167,154577,121891,62827,1
streaming_phase0_core1,mlop_MTPS1200,0.26032,1455217,164460,136847,72083,1
streaming_phase0_core1,pythia_MTPS1200,0.25926,997681,210233,119708,44107,1
streaming_phase0_core1,nopref_MTPS4800,0.24606,855765,681236,116387,58142,1
streaming_phase0_core1,spp_MTPS4800,0.25981,1002076,288825,139293,58763,1
streaming_phase0_core1,bingo_MTPS4800,0.26337,1018595,151047,122068,62726,1
streaming_phase0_core1,mlop_MTPS4800,0.2628,1469321,158566,138750,72438,1
streaming_phase0_core1,pythia_MTPS4800,0.26092,992721,212028,119687,43824,1
streaming_phase0_core1,nopref_MTPS9600,0.24615,855770,681245,116383,58142,1
streaming_phase0_core1,spp_MTPS9600,0.25987,1001192,288529,139295,58807,1
streaming_phase0_core1,bingo_MTPS9600,0.26343,1018622,151011,122097,62737,1
streaming_phase0_core1,mlop_MTPS9600,0.26275,1452688,159785,138453,71247,1
streaming_phase0_core1,pythia_MTPS9600,0.26099,997549,209997,119801,43849,1
